Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       66     0.00     0.00  Catch::TestCaseTracking::ITracker** std::copy<std::move_iterator<Catch::TestCaseTracking::ITracker**>, Catch::TestCaseTracking::ITracker**>(std::move_iterator<Catch::TestCaseTracking::ITracker**>, std::move_iterator<Catch::TestCaseTracking::ITracker**>, Catch::TestCaseTracking::ITracker**)
  0.00      0.00     0.00       65     0.00     0.00  std::basic_ostringstream<char, std::char_traits<char>, std::allocator<char> >::basic_ostringstream(std::_Ios_Openmode)
  0.00      0.00     0.00       63     0.00     0.00  Catch::ReporterRegistry::create(std::string const&, Catch::Ptr<Catch::IConfig const> const&) const
  0.00      0.00     0.00       60     0.00     0.00  Catch::Clara::CommandLine<Catch::ConfigData>::optUsage(std::ostream&, unsigned int, unsigned int) const
  0.00      0.00     0.00       59     0.00     0.00  Catch::Clara::CommandLine<Catch::ConfigData>::operator[](Catch::Clara::UnpositionalTag)
  0.00      0.00     0.00       59     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, int)
  0.00      0.00     0.00       57     0.00     0.00  std::__timepunct<wchar_t>::__timepunct(unsigned int)
  0.00      0.00     0.00       57     0.00     0.00  std::_Vector_base<Catch::TestCase, std::allocator<Catch::TestCase> >::_M_create_storage(unsigned int)
  0.00      0.00     0.00       57     0.00     0.00  std::_Vector_base<Catch::TestCase, std::allocator<Catch::TestCase> >::~_Vector_base()
  0.00      0.00     0.00       56     0.00     0.00  Catch::Clara::Detail::convertInto(std::string const&, bool&)
  0.00      0.00     0.00       56     0.00     0.00  std::__pad<char, std::char_traits<char> >::_S_pad(std::ios_base&, char, char*, char const*, int, int)
  0.00      0.00     0.00       56     0.00     0.00  std::_Rb_tree_node<std::string>* std::_Rb_tree<std::string, std::string, std::_Identity<std::string>, std::less<std::string>, std::allocator<std::string> >::_M_create_node<std::string const&>(std::string const&)
  0.00      0.00     0.00       56     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, Catch::IGeneratorInfo*> >*& std::forward<std::_Rb_tree_node<std::pair<std::string const, Catch::IGeneratorInfo*> >*&>(std::remove_reference<std::_Rb_tree_node<std::pair<std::string const, Catch::IGeneratorInfo*> >*&>::type&)
  0.00      0.00     0.00       55     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<std::vector<IntElement, std::allocator<IntElement> >*, std::vector<std::vector<IntElement, std::allocator<IntElement> >, std::allocator<std::vector<IntElement, std::allocator<IntElement> > > > > >(__gnu_cxx::__normal_iterator<std::vector<IntElement, std::allocator<IntElement> >*, std::vector<std::vector<IntElement, std::allocator<IntElement> >, std::allocator<std::vector<IntElement, std::allocator<IntElement> > > > >, __gnu_cxx::__normal_iterator<std::vector<IntElement, std::allocator<IntElement> >*, std::vector<std::vector<IntElement, std::allocator<IntElement> >, std::allocator<std::vector<IntElement, std::allocator<IntElement> > > > >)
  0.00      0.00     0.00       54     0.00     0.00  Catch::createGeneratorsForTest()
  0.00      0.00     0.00       54     0.00     0.00  __gnu_cxx::stdio_filebuf<wchar_t, std::char_traits<wchar_t> >::~stdio_filebuf()
  0.00      0.00     0.00       53     0.00     0.00  std::_Vector_base<Catch::TestCase, std::allocator<Catch::TestCase> >::_Vector_impl::_Vector_impl(std::allocator<Catch::TestCase> const&)
  0.00      0.00     0.00       52     0.00     0.00  void Catch::TestSpecParser::addPattern<Catch::TestSpec::NamePattern>()
  0.00      0.00     0.00       52     0.00     0.00  _ZN9__gnu_cxx13new_allocatorIN5Catch3PtrINS1_8TestSpec7PatternEEEE9constructIS5_IRKS5_EEEvPT_DpOT0_
  0.00      0.00     0.00       51     0.00     0.00  Catch::AssertionResult::AssertionResult(Catch::AssertionInfo const&, Catch::AssertionResultData const&)
  0.00      0.00     0.00       50     0.00     0.00  Catch::SectionStats::SectionStats(Catch::SectionInfo const&, Catch::Counts const&, double, bool)
  0.00      0.00     0.00       50     0.00     0.00  Catch::Tbc::Text::spliceLine(unsigned int, std::string&, unsigned int)
  0.00      0.00     0.00       50     0.00     0.00  Catch::Tbc::Text::Text(std::string const&, Catch::Tbc::TextAttributes const&)
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::new_allocator<Catch::Ptr<Catch::TestSpec::Pattern> >::new_allocator()
  0.00      0.00     0.00       50     0.00     0.00  __gnu_cxx::stdio_filebuf<wchar_t, std::char_traits<wchar_t> >::stdio_filebuf(int, std::_Ios_Openmode, unsigned int)
  0.00      0.00     0.00       50     0.00     0.00  Catch::AssertionResult::isOk() const
  0.00      0.00     0.00       50     0.00     0.00  Catch::AssertionResult::succeeded() const
  0.00      0.00     0.00       50     0.00     0.00  Catch::Ptr<Catch::IReporterFactory>* std::__uninitialized_move_if_noexcept_a<Catch::Ptr<Catch::IReporterFactory>*, Catch::Ptr<Catch::IReporterFactory>*, std::allocator<Catch::Ptr<Catch::IReporterFactory> > >(Catch::Ptr<Catch::IReporterFactory>*, Catch::Ptr<Catch::IReporterFactory>*, Catch::Ptr<Catch::IReporterFactory>*, std::allocator<Catch::Ptr<Catch::IReporterFactory> >&)
  0.00      0.00     0.00       50     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00      0.00     0.00       49     0.00     0.00  Catch::TestCaseTracking::TrackerBase::name() const
  0.00      0.00     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<Catch::TestCase>::new_allocator()
